gubun,mem_id,cor_id,cit_id,cde_id,cde_price,cor_datetime
akbonara,1222836,abnr20161107105,4188,5625,1000,2016-11-07 00:00:00
akbonara,1184810,abnr20161107108,6279,8296,500,2016-11-07 00:00:00
akbonara,1198515,abnr20161107109,5645,7578,500,2016-11-07 00:00:00
akbonara,1205022,abnr20161107112,6212,8206,500,2016-11-07 00:00:00
akbonara,1207523,abnr20161107119,5632,7565,500,2016-11-07 00:00:00
akbonara,1207523,abnr20161107120,3752,5049,1000,2016-11-07 00:00:00
akbonara,1207523,abnr20161107121,6284,8305,500,2016-11-07 00:00:00
akbonara,1228679,abnr20161107125,6278,8295,500,2016-11-07 00:00:00
akbonara,1188509,abnr20161107127,6283,8303,500,2016-11-07 00:00:00
akbonara,1233795,abnr2016110713,186,227,1000,2016-11-07 00:00:00
akbonara,1178768,abnr20161107131,136,157,500,2016-11-07 00:00:00
akbonara,1235038,abnr20161107135,1556,2044,1000,2016-11-07 00:00:00
akbonara,1183469,abnr20161107138,4114,5519,500,2016-11-07 00:00:00
akbonara,1212348,abnr20161107139,1438,1878,1000,2016-11-07 00:00:00
akbonara,1227071,abnr20161107140,4515,6150,500,2016-11-07 00:00:00
akbonara,1171842,abnr20161107141,6284,8305,500,2016-11-07 00:00:00
akbonara,1195729,abnr2016110715,7665,11332,1500,2016-11-07 00:00:00
akbonara,1234987,abnr2016110717,6232,8235,500,2016-11-07 00:00:00
akbonara,1210483,abnr2016110723,5549,7444,500,2016-11-07 00:00:00
akbonara,1209120,abnr2016110725,4574,6227,500,2016-11-07 00:00:00
akbonara,1170104,abnr2016110727,4823,6532,500,2016-11-07 00:00:00
akbonara,1181183,abnr2016110748,4492,6109,500,2016-11-07 00:00:00
akbonara,1198375,abnr2016110749,7295,9445,1000,2016-11-07 00:00:00
akbonara,1203750,abnr2016110756,1709,2245,1000,2016-11-07 00:00:00
akbonara,1234865,abnr2016110768,4728,6422,500,2016-11-07 00:00:00
akbonara,1234865,abnr2016110777,4581,6234,500,2016-11-07 00:00:00
akbonara,1234865,abnr2016110778,2577,3305,1000,2016-11-07 00:00:00
akbonara,1169648,abnr20161108100,6235,5060,1000,2016-11-08 00:00:00
akbonara,1215557,abnr20161108106,4840,6562,1000,2016-11-08 00:00:00
akbonara,1170755,abnr20161108107,3753,5050,1000,2016-11-08 00:00:00
akbonara,1233810,abnr20161108108,1832,2407,900,2016-11-08 00:00:00
akbonara,1220737,abnr20161108111,6120,8065,500,2016-11-08 00:00:00
akbonara,1234932,abnr20161108121,689,866,1000,2016-11-08 00:00:00
akbonara,1120692,abnr20161108122,3068,3944,1000,2016-11-08 00:00:00
akbonara,1235096,abnr20161108125,897,1148,1000,2016-11-08 00:00:00
akbonara,1225324,abnr20161108126,4183,5613,1000,2016-11-08 00:00:00
akbonara,1231982,abnr20161108128,7328,9478,1000,2016-11-08 00:00:00
akbonara,1235096,abnr20161108129,6263,8279,500,2016-11-08 00:00:00
akbonara,1234840,abnr20161108141,6256,8266,500,2016-11-08 00:00:00
akbonara,1234840,abnr20161108142,2697,951,1000,2016-11-08 00:00:00
akbonara,1234840,abnr20161108143,5625,7558,500,2016-11-08 00:00:00
akbonara,1234840,abnr20161108145,6201,8193,500,2016-11-08 00:00:00
akbonara,1160910,abnr20161108148,6256,9341,1000,2016-11-08 00:00:00
akbonara,1234424,abnr20161108149,8386,12053,2000,2016-11-08 00:00:00
akbonara,1234424,abnr20161108150,8553,12220,3000,2016-11-08 00:00:00
akbonara,1234424,abnr20161108151,8624,12291,3000,2016-11-08 00:00:00
akbonara,1234424,abnr20161108152,8554,12221,3000,2016-11-08 00:00:00
akbonara,1234424,abnr20161108153,4734,6428,500,2016-11-08 00:00:00
akbonara,1031371,abnr20161108155,6775,8925,1000,2016-11-08 00:00:00
akbonara,1155273,abnr20161108157,3710,4978,1000,2016-11-08 00:00:00
akbonara,1234973,abnr20161108162,3455,4486,1000,2016-11-08 00:00:00
akbonara,1203664,abnr2016110819,3850,5199,500,2016-11-08 00:00:00
akbonara,1221694,abnr2016110829,6886,9036,1000,2016-11-08 00:00:00
akbonara,1234821,abnr2016110842,1859,2444,1000,2016-11-08 00:00:00
akbonara,1234995,abnr2016110845,16014,9265,1000,2016-11-08 00:00:00
akbonara,1234995,abnr2016110846,5392,7240,500,2016-11-08 00:00:00
akbonara,1234397,abnr2016110849,8863,12530,3000,2016-11-08 00:00:00
akbonara,1164833,abnr2016110854,6923,9073,1000,2016-11-08 00:00:00
akbonara,1234987,abnr2016110856,3638,4841,1000,2016-11-08 00:00:00
akbonara,1173069,abnr2016110858,3103,8941,1000,2016-11-08 00:00:00
akbonara,1219988,abnr2016110860,4514,6149,1000,2016-11-08 00:00:00
akbonara,1219988,abnr2016110861,6284,8305,500,2016-11-08 00:00:00
akbonara,1229493,abnr2016110863,2573,6347,500,2016-11-08 00:00:00
akbonara,1235054,abnr201611087,7609,11276,1500,2016-11-08 00:00:00
akbonara,1206992,abnr2016110883,1336,1727,1000,2016-11-08 00:00:00
akbonara,1233398,abnr2016110885,16838,8552,500,2016-11-08 00:00:00
akbonara,1204457,abnr2016110886,6287,8308,500,2016-11-08 00:00:00
akbonara,1165693,abnr2016110888,5598,7521,500,2016-11-08 00:00:00
akbonara,1209723,abnr2016110892,1923,2526,1000,2016-11-08 00:00:00
akbonara,1235146,abnr20161109100,3779,5090,500,2016-11-09 00:00:00
akbonara,1235146,abnr20161109101,6258,8270,500,2016-11-09 00:00:00
akbonara,1235146,abnr20161109102,7332,9337,1000,2016-11-09 00:00:00
akbonara,1235146,abnr20161109103,4483,6098,500,2016-11-09 00:00:00
akbonara,1235149,abnr20161109106,6260,8274,1000,2016-11-09 00:00:00
akbonara,1235113,abnr2016110911,4497,6116,500,2016-11-09 00:00:00
akbonara,1162505,abnr20161109112,453,547,1000,2016-11-09 00:00:00
akbonara,1235153,abnr20161109115,1600,2101,1000,2016-11-09 00:00:00
akbonara,1156902,abnr20161109116,1719,2259,1000,2016-11-09 00:00:00
akbonara,1226647,abnr20161109117,5779,7719,500,2016-11-09 00:00:00
akbonara,1226647,abnr20161109118,4517,6151,500,2016-11-09 00:00:00
akbonara,1226647,abnr20161109119,4644,6316,500,2016-11-09 00:00:00
akbonara,1159720,abnr20161109122,3303,4244,1000,2016-11-09 00:00:00
akbonara,1200006,abnr20161109129,1329,1719,1000,2016-11-09 00:00:00
akbonara,1234430,abnr20161109131,1883,550,500,2016-11-09 00:00:00
akbonara,1234430,abnr20161109132,1883,3010,1000,2016-11-09 00:00:00
akbonara,1219079,abnr20161109138,16074,5097,1000,2016-11-09 00:00:00
akbonara,1234745,abnr20161109139,7505,9655,1000,2016-11-09 00:00:00
akbonara,1191732,abnr20161109140,7333,8294,500,2016-11-09 00:00:00
akbonara,1195265,abnr20161109143,119,139,1000,2016-11-09 00:00:00
akbonara,1207472,abnr20161109145,6284,8305,500,2016-11-09 00:00:00
akbonara,1234212,abnr20161109147,190,232,1000,2016-11-09 00:00:00
akbonara,1234212,abnr20161109148,188,229,500,2016-11-09 00:00:00
akbonara,1235008,abnr20161109152,6950,8878,700,2016-11-09 00:00:00
akbonara,1217845,abnr20161109154,3787,5106,1000,2016-11-09 00:00:00
akbonara,1174681,abnr20161109155,5604,7528,500,2016-11-09 00:00:00
